Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New York Jets,American Football Conference - 2013 Preseason,AFC East Team,3,1,0,.750,105,80,25,12,2-0,1-1,0-0,.000,1-0,1.000,2-1,3W,3-1
New England Patriots,American Football Conference - 2013 Preseason,AFC East Team,3,1,0,.750,93,103,-10,12,2-0,1-1,0-0,.000,0-0,.000,3-1,1W,3-1
Buffalo Bills,American Football Conference - 2013 Preseason,AFC East Team,2,2,0,.500,84,101,-17,9,1-1,1-1,0-0,.000,1-0,1.000,1-2,2L,2-2
Miami Dolphins,American Football Conference - 2013 Preseason,AFC East Team,2,3,0,.400,104,89,15,10,1-1,1-2,0-0,.000,1-1,.500,1-2,1W,2-3
Cincinnati Bengals,American Football Conference - 2013 Preseason,AFC North Team,3,1,0,.750,106,63,43,12,2-0,1-1,0-0,.000,2-0,1.000,1-1,1W,3-1
Cleveland Browns,American Football Conference - 2013 Preseason,AFC North Team,3,1,0,.750,75,68,7,8,2-0,1-1,0-0,.000,0-1,.000,3-0,1W,3-1
Baltimore Ravens,American Football Conference - 2013 Preseason,AFC North Team,2,2,0,.500,119,97,22,15,1-1,1-1,0-0,.000,0-0,.000,2-2,2L,2-2
Pittsburgh Steelers,American Football Conference - 2013 Preseason,AFC North Team,0,4,0,.000,56,93,-37,5,0-2,0-2,0-0,.000,0-1,.000,0-3,4L,0-4
Houston Texans,American Football Conference - 2013 Preseason,AFC South Team,3,1,0,.750,98,67,31,11,1-1,2-0,0-0,.000,1-0,1.000,2-1,1W,3-1
Indianapolis Colts,American Football Conference - 2013 Preseason,AFC South Team,2,2,0,.500,77,89,-12,8,1-1,1-1,0-0,.000,1-2,.333,1-0,1L,2-2
Jacksonville Jaguars,American Football Conference - 2013 Preseason,AFC South Team,1,3,0,.250,60,111,-51,6,0-2,1-1,0-0,.000,0-2,.000,1-1,1W,1-3
Tennessee Titans,American Football Conference - 2013 Preseason,AFC South Team,1,3,0,.250,90,89,1,10,1-1,0-2,0-0,.000,0-1,.000,1-2,1L,1-3
Denver Broncos,American Football Conference - 2013 Preseason,AFC West Team,2,2,0,.500,71,104,-33,8,1-1,1-1,0-0,.000,0-0,.000,2-2,1L,2-2
Kansas City Chiefs,American Football Conference - 2013 Preseason,AFC West Team,2,2,0,.500,82,60,22,8,1-1,1-1,0-0,.000,1-0,1.000,1-2,2W,2-2
Oakland Raiders,American Football Conference - 2013 Preseason,AFC West Team,1,3,0,.250,71,101,-30,6,1-1,0-2,0-0,.000,0-0,.000,1-3,3L,1-3
San Diego Chargers,American Football Conference - 2013 Preseason,AFC West Team,1,3,0,.250,68,112,-44,8,0-2,1-1,0-0,.000,0-0,.000,1-3,1L,1-3
Washington Redskins,National Football Conference - 2013 Preseason,NFC East Team,4,0,0,1.000,106,53,53,12,2-0,2-0,0-0,.000,1-0,1.000,3-0,4W,4-0
Philadelphia Eagles,National Football Conference - 2013 Preseason,NFC East Team,2,2,0,.500,87,91,-4,10,1-1,1-1,0-0,.000,1-0,1.000,1-2,1L,2-2
Dallas Cowboys,National Football Conference - 2013 Preseason,NFC East Team,2,3,0,.400,78,93,-15,9,2-1,0-2,0-0,.000,0-1,.000,2-2,1L,2-3
New York Giants,National Football Conference - 2013 Preseason,NFC East Team,1,3,0,.250,71,85,-14,4,0-2,1-1,0-0,.000,0-0,.000,1-3,3L,1-3
Detroit Lions,National Football Conference - 2013 Preseason,NFC North Team,3,1,0,.750,107,63,44,11,2-0,1-1,0-0,.000,0-0,.000,3-1,2W,3-1
Chicago Bears,National Football Conference - 2013 Preseason,NFC North Team,2,2,0,.500,100,96,4,10,1-1,1-1,0-0,.000,0-1,.000,2-1,1L,2-2
Minnesota Vikings,National Football Conference - 2013 Preseason,NFC North Team,1,3,0,.250,67,104,-37,8,1-1,0-2,0-0,.000,0-1,.000,1-2,1W,1-3
Green Bay Packers,National Football Conference - 2013 Preseason,NFC North Team,1,3,0,.250,37,71,-34,2,0-2,1-1,0-0,.000,1-2,.333,0-1,2L,1-3
Carolina Panthers,National Football Conference - 2013 Preseason,NFC South Team,3,1,0,.750,92,68,24,9,2-0,1-1,0-0,.000,1-1,.500,2-0,2W,3-1
New Orleans Saints,National Football Conference - 2013 Preseason,NFC South Team,3,1,0,.750,97,80,17,11,2-0,1-1,0-0,.000,0-0,.000,3-1,1L,3-1
Tampa Bay Buccaneers,National Football Conference - 2013 Preseason,NFC South Team,1,3,0,.250,66,115,-49,6,0-2,1-1,0-0,.000,0-1,.000,1-2,1L,1-3
Atlanta Falcons,National Football Conference - 2013 Preseason,NFC South Team,0,4,0,.000,65,108,-43,6,0-2,0-2,0-0,.000,0-0,.000,0-4,4L,0-4
Seattle Seahawks,National Football Conference - 2013 Preseason,NFC West Team,4,0,0,1.000,110,36,74,12,2-0,2-0,0-0,.000,1-0,1.000,3-0,4W,4-0
Arizona Cardinals,National Football Conference - 2013 Preseason,NFC West Team,3,1,0,.750,68,55,13,7,1-1,2-0,0-0,.000,2-0,1.000,1-1,1W,3-1
San Francisco 49ers,National Football Conference - 2013 Preseason,NFC West Team,3,1,0,.750,96,43,53,10,1-1,2-0,0-0,.000,1-0,1.000,2-1,3W,3-1
St. Louis Rams,National Football Conference - 2013 Preseason,NFC West Team,1,3,0,.250,76,94,-18,9,1-1,0-2,0-0,.000,0-1,.000,1-2,1W,1-3
