Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2015 Preseason,AFC East Team,1,0,0,1.000,17,16,1,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Buffalo Bills,American Football Conference - 2015 Preseason,AFC East Team,1,0,0,1.000,11,10,1,1,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
Miami Dolphins,American Football Conference - 2015 Preseason,AFC East Team,1,3,0,.250,70,89,-19,8,1-1,0-2,0-0,.000,0-0,.000,1-3,L1,1-3
New York Jets,American Football Conference - 2015 Preseason,AFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Pittsburgh Steelers,American Football Conference - 2015 Preseason,AFC North Team,1,2,0,.333,51,65,-14,5,1-1,0-1,0-0,.000,0-1,.000,1-1,L1,1-2
Cleveland Browns,American Football Conference - 2015 Preseason,AFC North Team,1,3,0,.250,58,62,-4,7,0-2,1-1,0-0,.000,0-1,.000,1-2,L1,1-3
Cincinnati Bengals,American Football Conference - 2015 Preseason,AFC North Team,0,1,0,.000,11,25,-14,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Baltimore Ravens,American Football Conference - 2015 Preseason,AFC North Team,0,1,0,.000,17,40,-23,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Tennessee Titans,American Football Conference - 2015 Preseason,AFC South Team,2,1,0,.667,61,65,-4,7,2-0,0-1,0-0,.000,0-1,.000,2-0,W1,2-1
Jacksonville Jaguars,American Football Conference - 2015 Preseason,AFC South Team,2,1,0,.667,57,59,-2,7,1-1,1-0,0-0,.000,1-0,1.000,1-1,W1,2-1
Houston Texans,American Football Conference - 2015 Preseason,AFC South Team,1,1,0,.500,33,24,9,3,1-1,0-0,0-0,.000,0-1,.000,1-0,L1,1-1
Indianapolis Colts,American Football Conference - 2015 Preseason,AFC South Team,0,1,0,.000,10,36,-26,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Kansas City Chiefs,American Football Conference - 2015 Preseason,AFC West Team,3,0,0,1.000,82,42,40,10,2-0,1-0,0-0,.000,1-0,1.000,2-0,W3,3-0
Denver Broncos,American Football Conference - 2015 Preseason,AFC West Team,2,1,0,.667,53,44,9,5,1-1,1-0,0-0,.000,1-0,1.000,1-1,L1,2-1
Oakland Raiders,American Football Conference - 2015 Preseason,AFC West Team,1,1,0,.500,41,33,8,3,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
San Diego Chargers,American Football Conference - 2015 Preseason,AFC West Team,2,2,0,.500,66,56,10,7,1-1,1-1,0-0,.000,0-0,.000,2-2,L2,2-2
Philadelphia Eagles,National Football Conference - 2015 Preseason,NFC East Team,3,0,0,1.000,115,53,62,14,2-0,1-0,0-0,.000,1-0,1.000,2-0,W3,3-0
Washington Redskins,National Football Conference - 2015 Preseason,NFC East Team,2,1,0,.667,57,51,6,7,1-1,1-0,0-0,.000,1-0,1.000,1-1,L1,2-1
Dallas Cowboys,National Football Conference - 2015 Preseason,NFC East Team,0,2,0,.000,13,40,-27,2,0-0,0-2,0-0,.000,0-1,.000,0-1,L2,0-2
New York Giants,National Football Conference - 2015 Preseason,NFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Chicago Bears,National Football Conference - 2015 Preseason,NFC North Team,2,0,0,1.000,51,10,41,5,2-0,0-0,0-0,.000,0-0,.000,2-0,W2,2-0
Detroit Lions,National Football Conference - 2015 Preseason,NFC North Team,1,1,0,.500,39,38,1,5,0-0,1-1,0-0,.000,0-1,.000,1-0,W1,1-1
Green Bay Packers,National Football Conference - 2015 Preseason,NFC North Team,1,2,0,.333,83,73,10,11,1-1,0-1,0-0,.000,1-1,.500,0-1,W1,1-2
Minnesota Vikings,National Football Conference - 2015 Preseason,NFC North Team,0,1,0,.000,17,24,-7,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Carolina Panthers,National Football Conference - 2015 Preseason,NFC South Team,2,1,0,.667,70,53,17,6,1-1,1-0,0-0,.000,0-0,.000,2-1,W1,2-1
Tampa Bay Buccaneers,National Football Conference - 2015 Preseason,NFC South Team,2,1,0,.667,54,59,-5,6,1-1,1-0,0-0,.000,0-0,.000,2-1,W1,2-1
Atlanta Falcons,National Football Conference - 2015 Preseason,NFC South Team,0,1,0,.000,9,13,-4,0,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
New Orleans Saints,National Football Conference - 2015 Preseason,NFC South Team,0,1,0,.000,10,38,-28,1,0-0,0-1,0-0,.000,0-1,.000,0-0,L1,0-1
Arizona Cardinals,National Football Conference - 2015 Preseason,NFC West Team,2,2,0,.500,90,99,-9,11,0-2,2-0,0-0,.000,0-0,.000,2-2,W2,2-2
Seattle Seahawks,National Football Conference - 2015 Preseason,NFC West Team,1,1,0,.500,29,29,0,2,0-0,1-1,0-0,.000,0-0,.000,1-1,W1,1-1
San Francisco 49ers,National Football Conference - 2015 Preseason,NFC West Team,2,2,0,.500,59,60,-1,5,2-0,0-2,0-0,.000,1-0,1.000,1-2,W1,2-2
St. Louis Rams,National Football Conference - 2015 Preseason,NFC West Team,0,2,0,.000,17,45,-28,2,0-0,0-2,0-0,.000,0-0,.000,0-2,L2,0-2
