Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2012 Preseason,AFC East Team,1,2,0,.333,27,39,-12,2,1-1,0-1,0-0,.000,0-0,.000,1-2,L2,1-2
New York Jets,American Football Conference - 2012 Preseason,AFC East Team,0,3,0,.000,21,60,-39,0,0-2,0-1,0-0,.000,0-1,.000,0-2,L3,0-3
Miami Dolphins,American Football Conference - 2012 Preseason,AFC East Team,0,1,0,.000,13,30,-17,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Buffalo Bills,American Football Conference - 2012 Preseason,AFC East Team,0,4,0,.000,59,119,-60,7,0-2,0-2,0-0,.000,0-1,.000,0-3,L4,0-4
Pittsburgh Steelers,American Football Conference - 2012 Preseason,AFC North Team,1,0,0,1.000,38,7,31,5,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
Cleveland Browns,American Football Conference - 2012 Preseason,AFC North Team,1,0,0,1.000,19,17,2,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Cincinnati Bengals,American Football Conference - 2012 Preseason,AFC North Team,2,2,0,.500,70,72,-2,7,1-1,1-1,0-0,.000,1-1,.500,1-1,L2,2-2
Baltimore Ravens,American Football Conference - 2012 Preseason,AFC North Team,2,2,0,.500,108,92,16,12,1-1,1-1,0-0,.000,1-0,1.000,1-2,L1,2-2
Indianapolis Colts,American Football Conference - 2012 Preseason,AFC South Team,2,0,0,1.000,58,19,39,8,2-0,0-0,0-0,.000,1-0,1.000,1-0,W2,2-0
Jacksonville Jaguars,American Football Conference - 2012 Preseason,AFC South Team,1,1,0,.500,44,72,-28,5,0-0,1-1,0-0,.000,0-1,.000,1-0,L1,1-1
Tennessee Titans,American Football Conference - 2012 Preseason,AFC South Team,0,1,0,.000,17,27,-10,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Houston Texans,American Football Conference - 2012 Preseason,AFC South Team,0,1,0,.000,27,34,-7,3,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
San Diego Chargers,American Football Conference - 2012 Preseason,AFC West Team,1,0,0,1.000,12,10,2,0,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Oakland Raiders,American Football Conference - 2012 Preseason,AFC West Team,0,1,0,.000,3,21,-18,0,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Denver Broncos,American Football Conference - 2012 Preseason,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Kansas City Chiefs,American Football Conference - 2012 Preseason,AFC West Team,0,1,0,.000,17,31,-14,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Dallas Cowboys,National Football Conference - 2012 Preseason,NFC East Team,2,0,0,1.000,50,32,18,5,2-0,0-0,0-0,.000,1-0,1.000,1-0,W2,2-0
Washington Redskins,National Football Conference - 2012 Preseason,NFC East Team,1,0,0,1.000,7,6,1,1,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Philadelphia Eagles,National Football Conference - 2012 Preseason,NFC East Team,1,0,0,1.000,27,17,10,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
New York Giants,National Football Conference - 2012 Preseason,NFC East Team,2,1,0,.667,49,26,23,4,1-1,1-0,0-0,.000,0-1,.000,2-0,W1,2-1
Green Bay Packers,National Football Conference - 2012 Preseason,NFC North Team,1,0,0,1.000,27,13,14,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Chicago Bears,National Football Conference - 2012 Preseason,NFC North Team,1,0,0,1.000,20,17,3,2,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
Detroit Lions,National Football Conference - 2012 Preseason,NFC North Team,2,1,0,.667,82,63,19,10,1-1,1-0,0-0,.000,0-0,.000,2-1,W2,2-1
Minnesota Vikings,National Football Conference - 2012 Preseason,NFC North Team,1,1,0,.500,46,26,20,4,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
Carolina Panthers,National Football Conference - 2012 Preseason,NFC South Team,1,0,0,1.000,17,12,5,2,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
New Orleans Saints,National Football Conference - 2012 Preseason,NFC South Team,2,2,0,.500,81,71,10,9,2-1,0-1,0-0,.000,1-0,1.000,1-2,W1,2-2
Tampa Bay Buccaneers,National Football Conference - 2012 Preseason,NFC South Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Atlanta Falcons,National Football Conference - 2012 Preseason,NFC South Team,0,2,0,.000,36,55,-19,4,0-2,0-0,0-0,.000,0-0,.000,0-2,L2,0-2
Seattle Seahawks,National Football Conference - 2012 Preseason,NFC West Team,2,0,0,1.000,48,20,28,5,2-0,0-0,0-0,.000,0-0,.000,2-0,W2,2-0
St. Louis Rams,National Football Conference - 2012 Preseason,NFC West Team,2,2,0,.500,84,92,-8,10,2-0,0-2,0-0,.000,0-1,.000,2-1,W1,2-2
San Francisco 49ers,National Football Conference - 2012 Preseason,NFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Arizona Cardinals,National Football Conference - 2012 Preseason,NFC West Team,0,1,0,.000,10,17,-7,1,0-0,0-1,0-0,.000,0-1,.000,0-0,L1,0-1
