Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2011 Regular Season,AFC East Team,5,1,0,.833,199,138,61,25,0-0,5-1,1-0,1.000,3-1,.750,2-0,W3,4-1
Miami Dolphins,American Football Conference - 2011 Regular Season,AFC East Team,5,6,0,.455,233,199,34,24,4-4,1-2,2-1,.667,4-5,.444,1-1,W1,4-1
Buffalo Bills,American Football Conference - 2011 Regular Season,AFC East Team,1,2,0,.333,59,79,-20,6,0-0,1-2,0-1,.000,1-2,.333,0-0,L2,1-2
New York Jets,American Football Conference - 2011 Regular Season,AFC East Team,1,4,0,.200,107,134,-27,12,0-0,1-4,0-1,.000,0-3,.000,1-1,L2,1-4
Pittsburgh Steelers,American Football Conference - 2011 Regular Season,AFC North Team,10,3,0,.769,271,155,116,30,7-1,3-2,3-1,.750,7-2,.778,3-1,W2,4-1
Cincinnati Bengals,American Football Conference - 2011 Regular Season,AFC North Team,3,2,0,.600,110,113,-3,13,0-0,3-2,1-1,.500,3-2,.600,0-0,L1,3-2
Baltimore Ravens,American Football Conference - 2011 Regular Season,AFC North Team,2,3,0,.400,81,102,-21,9,0-0,2-3,2-0,1.000,2-3,.400,0-0,L1,2-3
Cleveland Browns,American Football Conference - 2011 Regular Season,AFC North Team,3,10,0,.231,157,245,-88,14,3-5,0-5,0-4,.000,2-7,.222,1-3,L4,1-4
Houston Texans,American Football Conference - 2011 Regular Season,AFC South Team,9,3,0,.750,298,171,127,33,5-3,4-0,4-1,.800,7-2,.778,2-1,L2,3-2
Tennessee Titans,American Football Conference - 2011 Regular Season,AFC South Team,8,5,0,.615,272,250,22,29,5-3,3-2,3-2,.600,6-4,.600,2-1,W2,4-1
Jacksonville Jaguars,American Football Conference - 2011 Regular Season,AFC South Team,4,9,0,.308,209,253,-44,21,4-4,0-5,2-3,.400,3-7,.300,1-2,W1,2-3
Indianapolis Colts,American Football Conference - 2011 Regular Season,AFC South Team,0,4,0,.000,47,104,-57,5,0-0,0-4,0-3,.000,0-3,.000,0-1,L4,0-4
San Diego Chargers,American Football Conference - 2011 Regular Season,AFC West Team,8,5,0,.615,354,277,77,39,5-3,3-2,3-3,.500,7-3,.700,1-2,W4,4-1
Denver Broncos,American Football Conference - 2011 Regular Season,AFC West Team,7,7,0,.500,260,318,-58,30,3-5,4-2,3-3,.500,6-5,.545,1-2,L2,3-2
Oakland Raiders,American Football Conference - 2011 Regular Season,AFC West Team,7,7,0,.500,297,374,-77,30,3-5,4-2,3-3,.500,6-5,.545,1-2,L1,1-4
Kansas City Chiefs,American Football Conference - 2011 Regular Season,AFC West Team,6,6,0,.500,168,195,-27,15,3-5,3-1,3-3,.500,3-6,.333,3-0,W1,3-2
Dallas Cowboys,National Football Conference - 2011 Regular Season,NFC East Team,3,2,0,.600,105,116,-11,12,0-0,3-2,1-1,.500,3-2,.600,0-0,W1,3-2
New York Giants,National Football Conference - 2011 Regular Season,NFC East Team,2,2,0,.500,94,98,-4,12,0-0,2-2,1-1,.500,2-2,.500,0-0,L1,2-2
Philadelphia Eagles,National Football Conference - 2011 Regular Season,NFC East Team,5,5,0,.500,259,201,58,29,3-5,2-0,3-1,.750,3-4,.429,2-1,W3,3-2
Washington Redskins,National Football Conference - 2011 Regular Season,NFC East Team,2,9,0,.182,209,289,-80,20,2-6,0-3,1-3,.250,2-6,.250,0-3,L9,0-5
Green Bay Packers,National Football Conference - 2011 Regular Season,NFC North Team,11,1,0,.917,437,268,169,57,8-0,3-1,4-0,1.000,8-0,1.000,3-1,W2,4-1
Detroit Lions,National Football Conference - 2011 Regular Season,NFC North Team,3,2,0,.600,154,139,15,19,0-0,3-2,0-2,.000,1-2,.333,2-0,L1,3-2
Chicago Bears,National Football Conference - 2011 Regular Season,NFC North Team,7,6,0,.538,310,274,36,34,5-3,2-3,2-2,.500,6-3,.667,1-3,L5,0-5
Minnesota Vikings,National Football Conference - 2011 Regular Season,NFC North Team,2,4,0,.333,108,177,-69,13,0-0,2-4,0-2,.000,2-2,.500,0-2,W1,2-3
New Orleans Saints,National Football Conference - 2011 Regular Season,NFC South Team,3,2,0,.600,129,122,7,13,0-0,3-2,1-1,.500,1-2,.333,2-0,W1,3-2
Carolina Panthers,National Football Conference - 2011 Regular Season,NFC South Team,5,7,0,.417,310,285,25,37,3-5,2-2,2-2,.500,3-6,.333,2-1,W2,3-2
Atlanta Falcons,National Football Conference - 2011 Regular Season,NFC South Team,1,3,0,.250,66,86,-20,7,0-0,1-3,1-1,.500,1-2,.333,0-1,W1,1-3
Tampa Bay Buccaneers,National Football Conference - 2011 Regular Season,NFC South Team,3,10,0,.231,223,402,-179,23,3-5,0-5,2-2,.500,2-7,.222,1-3,L8,0-5
San Francisco 49ers,National Football Conference - 2011 Regular Season,NFC West Team,9,2,0,.818,283,142,141,27,7-1,2-1,3-1,.750,7-2,.778,2-0,W1,4-1
Arizona Cardinals,National Football Conference - 2011 Regular Season,NFC West Team,7,4,0,.636,226,228,-2,28,6-2,1-2,3-1,.750,6-3,.667,1-1,W4,4-1
Seattle Seahawks,National Football Conference - 2011 Regular Season,NFC West Team,1,4,0,.200,78,100,-22,9,0-0,1-4,0-2,.000,1-2,.333,0-2,L1,1-4
St. Louis Rams,National Football Conference - 2011 Regular Season,NFC West Team,1,4,0,.200,29,108,-79,1,0-0,1-4,0-2,.000,0-3,.000,1-1,L2,1-4
