Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2013 Regular Season,AFC East Team,1,0,0,1.000,30,23,7,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
New York Jets,American Football Conference - 2013 Regular Season,AFC East Team,1,0,0,1.000,30,28,2,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Miami Dolphins,American Football Conference - 2013 Regular Season,AFC East Team,0,1,0,.000,17,38,-21,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Buffalo Bills,American Football Conference - 2013 Regular Season,AFC East Team,0,2,0,.000,48,69,-21,6,0-1,0-1,0-0,.000,0-0,.000,0-2,L2,0-2
Cincinnati Bengals,American Football Conference - 2013 Regular Season,AFC North Team,1,0,0,1.000,27,24,3,3,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Baltimore Ravens,American Football Conference - 2013 Regular Season,AFC North Team,1,0,0,1.000,18,16,2,0,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Cleveland Browns,American Football Conference - 2013 Regular Season,AFC North Team,1,0,0,1.000,31,27,4,4,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Pittsburgh Steelers,American Football Conference - 2013 Regular Season,AFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Indianapolis Colts,American Football Conference - 2013 Regular Season,AFC South Team,5,2,0,.714,151,150,1,15,5-1,0-1,3-0,1.000,4-0,1.000,1-2,W3,3-2
Tennessee Titans,American Football Conference - 2013 Regular Season,AFC South Team,1,2,0,.333,66,73,-7,9,0-0,1-2,0-2,.000,0-2,.000,1-0,L1,1-2
Jacksonville Jaguars,American Football Conference - 2013 Regular Season,AFC South Team,1,2,0,.333,43,70,-27,4,0-0,1-2,1-1,.500,1-1,.500,0-1,L1,1-2
Houston Texans,American Football Conference - 2013 Regular Season,AFC South Team,1,6,0,.143,119,178,-59,12,1-4,0-2,1-2,.333,1-3,.250,0-3,L6,0-5
Denver Broncos,American Football Conference - 2013 Regular Season,AFC West Team,1,0,0,1.000,51,48,3,6,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Oakland Raiders,American Football Conference - 2013 Regular Season,AFC West Team,1,2,0,.333,69,75,-6,9,0-0,1-2,0-0,.000,1-1,.500,0-1,L1,1-2
San Diego Chargers,American Football Conference - 2013 Regular Season,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Kansas City Chiefs,American Football Conference - 2013 Regular Season,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Philadelphia Eagles,National Football Conference - 2013 Regular Season,NFC East Team,1,1,0,.500,54,70,-16,6,0-0,1-1,1-0,1.000,1-1,.500,0-0,W1,1-1
New York Giants,National Football Conference - 2013 Regular Season,NFC East Team,1,1,0,.500,54,56,-2,6,0-0,1-1,0-1,.000,1-1,.500,0-0,W1,1-1
Dallas Cowboys,National Football Conference - 2013 Regular Season,NFC East Team,4,5,0,.444,282,270,12,32,4-3,0-2,2-1,.667,3-4,.429,1-1,L2,1-4
Washington Redskins,National Football Conference - 2013 Regular Season,NFC East Team,0,3,0,.000,69,92,-23,7,0-0,0-3,0-1,.000,0-3,.000,0-0,L3,0-3
Green Bay Packers,National Football Conference - 2013 Regular Season,NFC North Team,2,1,0,.667,91,107,-16,11,0-0,2-1,1-1,.500,2-1,.667,0-0,W1,2-1
Minnesota Vikings,National Football Conference - 2013 Regular Season,NFC North Team,4,4,0,.500,211,234,-23,25,4-3,0-1,2-2,.500,4-3,.571,0-1,W4,4-1
Detroit Lions,National Football Conference - 2013 Regular Season,NFC North Team,4,6,0,.400,260,227,33,31,4-4,0-2,3-1,.750,4-4,.500,0-2,L3,1-4
Chicago Bears,National Football Conference - 2013 Regular Season,NFC North Team,0,3,0,.000,73,105,-32,8,0-0,0-3,0-2,.000,0-3,.000,0-0,L3,0-3
New Orleans Saints,National Football Conference - 2013 Regular Season,NFC South Team,9,1,0,.900,305,165,140,39,8-0,1-1,4-0,1.000,7-1,.875,2-0,W1,4-1
Carolina Panthers,National Football Conference - 2013 Regular Season,NFC South Team,2,2,0,.500,75,83,-8,9,0-0,2-2,1-1,.500,2-2,.500,0-0,W1,2-2
Atlanta Falcons,National Football Conference - 2013 Regular Season,NFC South Team,4,7,0,.364,247,285,-38,28,3-5,1-2,1-3,.250,3-5,.375,1-2,L1,2-3
Tampa Bay Buccaneers,National Football Conference - 2013 Regular Season,NFC South Team,1,3,0,.250,77,117,-40,8,0-0,1-3,0-2,.000,1-3,.250,0-0,L2,1-3
Seattle Seahawks,National Football Conference - 2013 Regular Season,NFC West Team,3,1,0,.750,98,73,25,9,0-0,3-1,1-0,1.000,2-0,1.000,1-1,W2,3-1
Arizona Cardinals,National Football Conference - 2013 Regular Season,NFC West Team,5,2,0,.714,172,133,39,18,5-0,0-2,0-1,.000,3-2,.600,2-0,W4,4-1
St. Louis Rams,National Football Conference - 2013 Regular Season,NFC West Team,7,5,0,.583,301,254,47,34,5-3,2-2,1-2,.333,4-4,.500,3-1,W4,4-1
San Francisco 49ers,National Football Conference - 2013 Regular Season,NFC West Team,1,1,0,.500,55,34,21,7,0-0,1-1,1-0,1.000,1-1,.500,0-0,L1,1-1
