Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2011 Regular Season,AFC East Team,8,2,0,.800,314,204,110,36,7-1,1-1,4-1,.800,7-1,.875,1-1,W5,5-0
New York Jets,American Football Conference - 2011 Regular Season,AFC East Team,7,4,0,.636,270,229,41,33,6-2,1-2,3-2,.600,6-3,.667,1-1,L1,3-2
Buffalo Bills,American Football Conference - 2011 Regular Season,AFC East Team,5,8,0,.385,313,355,-42,37,5-3,0-5,1-4,.200,3-6,.333,2-2,L1,1-4
Miami Dolphins,American Football Conference - 2011 Regular Season,AFC East Team,1,4,0,.200,96,114,-18,9,0-0,1-4,1-2,.333,1-2,.333,0-2,L1,1-4
Baltimore Ravens,American Football Conference - 2011 Regular Season,AFC North Team,10,1,0,.909,297,164,133,32,8-0,2-1,4-0,1.000,7-0,1.000,3-1,W5,5-0
Pittsburgh Steelers,American Football Conference - 2011 Regular Season,AFC North Team,2,1,0,.667,54,72,-18,6,0-0,2-1,1-1,.500,2-1,.667,0-0,W2,2-1
Cincinnati Bengals,American Football Conference - 2011 Regular Season,AFC North Team,6,5,0,.545,234,210,24,22,4-4,2-1,1-3,.250,3-4,.429,3-1,L1,3-2
Cleveland Browns,American Football Conference - 2011 Regular Season,AFC North Team,1,2,0,.333,61,62,-1,7,0-0,1-2,0-2,.000,1-2,.333,0-0,L2,1-2
Tennessee Titans,American Football Conference - 2011 Regular Season,AFC South Team,1,2,0,.333,53,67,-14,5,0-0,1-2,0-1,.000,1-1,.500,0-1,L1,1-2
Jacksonville Jaguars,American Football Conference - 2011 Regular Season,AFC South Team,1,2,0,.333,34,76,-42,4,0-0,1-2,1-0,1.000,1-1,.500,0-1,L1,1-2
Houston Texans,American Football Conference - 2011 Regular Season,AFC South Team,1,3,0,.250,83,107,-24,8,0-0,1-3,0-1,.000,1-2,.333,0-1,L1,1-3
Indianapolis Colts,American Football Conference - 2011 Regular Season,AFC South Team,2,10,0,.167,196,326,-130,20,2-6,0-4,2-1,.667,2-7,.222,0-3,W2,2-3
Denver Broncos,American Football Conference - 2011 Regular Season,AFC West Team,1,1,0,.500,49,72,-23,6,0-0,1-1,0-0,.000,0-1,.000,1-0,L1,1-1
Oakland Raiders,American Football Conference - 2011 Regular Season,AFC West Team,1,1,0,.500,62,59,3,8,0-0,1-1,0-0,.000,0-1,.000,1-0,W1,1-1
Kansas City Chiefs,American Football Conference - 2011 Regular Season,AFC West Team,1,3,0,.250,44,143,-99,5,0-0,1-3,0-0,.000,1-2,.333,0-1,L2,1-3
San Diego Chargers,American Football Conference - 2011 Regular Season,AFC West Team,0,3,0,.000,52,100,-48,7,0-0,0-3,0-0,.000,0-2,.000,0-1,L3,0-3
Washington Redskins,National Football Conference - 2011 Regular Season,NFC East Team,3,2,0,.600,79,78,1,8,0-0,3-2,1-1,.500,3-1,.750,0-1,W2,3-2
New York Giants,National Football Conference - 2011 Regular Season,NFC East Team,7,5,0,.583,300,302,-2,35,4-4,3-1,2-2,.500,3-5,.375,4-0,W2,3-2
Philadelphia Eagles,National Football Conference - 2011 Regular Season,NFC East Team,3,3,0,.500,137,127,10,17,0-0,3-3,2-0,1.000,3-2,.600,0-1,W1,2-3
Dallas Cowboys,National Football Conference - 2011 Regular Season,NFC East Team,5,6,0,.455,264,231,33,27,5-3,0-3,1-3,.250,3-4,.429,2-2,L3,2-3
Green Bay Packers,National Football Conference - 2011 Regular Season,NFC North Team,4,0,0,1.000,123,91,32,13,0-0,4-0,2-0,1.000,4-0,1.000,0-0,W4,4-0
Detroit Lions,National Football Conference - 2011 Regular Season,NFC North Team,7,4,0,.636,320,248,72,38,5-3,2-1,3-1,.750,5-4,.556,2-0,W2,3-2
Chicago Bears,National Football Conference - 2011 Regular Season,NFC North Team,1,2,0,.333,43,67,-24,4,0-0,1-2,1-1,.500,1-2,.333,0-0,W1,1-2
Minnesota Vikings,National Football Conference - 2011 Regular Season,NFC North Team,1,9,0,.100,232,272,-40,26,1-7,0-2,0-4,.000,1-7,.125,0-2,L7,0-5
New Orleans Saints,National Football Conference - 2011 Regular Season,NFC South Team,10,1,0,.909,418,217,201,53,8-0,2-1,4-0,1.000,8-1,.889,2-0,W7,5-0
Atlanta Falcons,National Football Conference - 2011 Regular Season,NFC South Team,9,3,0,.750,336,264,72,39,6-2,3-1,2-2,.500,6-3,.667,3-0,W1,4-1
Tampa Bay Buccaneers,National Football Conference - 2011 Regular Season,NFC South Team,1,2,0,.333,64,92,-28,7,0-0,1-2,0-2,.000,1-2,.333,0-0,L2,1-2
Carolina Panthers,National Football Conference - 2011 Regular Season,NFC South Team,1,3,0,.250,96,144,-48,11,0-0,1-3,0-2,.000,0-3,.000,1-0,L1,1-3
San Francisco 49ers,National Football Conference - 2011 Regular Season,NFC West Team,4,1,0,.800,97,87,10,8,0-0,4-1,2-0,1.000,3-0,1.000,1-1,W2,4-1
Seattle Seahawks,National Football Conference - 2011 Regular Season,NFC West Team,6,5,0,.545,243,215,28,26,4-4,2-1,3-1,.750,5-4,.556,1-1,L1,3-2
Arizona Cardinals,National Football Conference - 2011 Regular Season,NFC West Team,1,4,0,.200,86,120,-34,9,0-0,1-4,1-1,.500,1-2,.333,0-2,L1,1-4
St. Louis Rams,National Football Conference - 2011 Regular Season,NFC West Team,1,10,0,.091,164,299,-135,17,1-7,0-3,0-4,.000,1-8,.111,0-2,L5,0-5
