Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New York Jets,American Football Conference - 2013 Preseason,AFC East Team,3,1,0,.750,105,80,25,12,2-0,1-1,0-0,.000,1-0,1.000,2-1,W3,3-1
New England Patriots,American Football Conference - 2013 Preseason,AFC East Team,2,1,0,.667,62,81,-19,8,2-0,0-1,0-0,.000,0-0,.000,2-1,W1,2-1
Buffalo Bills,American Football Conference - 2013 Preseason,AFC East Team,2,1,0,.667,77,71,6,8,1-1,1-0,0-0,.000,1-0,1.000,1-1,L1,2-1
Miami Dolphins,American Football Conference - 2013 Preseason,AFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Cincinnati Bengals,American Football Conference - 2013 Preseason,AFC North Team,3,1,0,.750,106,63,43,12,2-0,1-1,0-0,.000,2-0,1.000,1-1,W1,3-1
Baltimore Ravens,American Football Conference - 2013 Preseason,AFC North Team,1,2,0,.333,75,81,-6,10,1-1,0-1,0-0,.000,0-0,.000,1-2,L2,1-2
Pittsburgh Steelers,American Football Conference - 2013 Preseason,AFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Cleveland Browns,American Football Conference - 2013 Preseason,AFC North Team,0,1,0,.000,6,27,-21,0,0-0,0-1,0-0,.000,0-1,.000,0-0,L1,0-1
Houston Texans,American Football Conference - 2013 Preseason,AFC South Team,2,0,0,1.000,51,19,32,6,0-0,2-0,0-0,.000,0-0,.000,2-0,W2,2-0
Jacksonville Jaguars,American Football Conference - 2013 Preseason,AFC South Team,1,1,0,.500,33,53,-20,3,0-0,1-1,0-0,.000,0-1,.000,1-0,W1,1-1
Indianapolis Colts,American Football Conference - 2013 Preseason,AFC South Team,2,2,0,.500,77,89,-12,8,1-1,1-1,0-0,.000,1-2,.333,1-0,L1,2-2
Tennessee Titans,American Football Conference - 2013 Preseason,AFC South Team,0,2,0,.000,42,51,-9,4,0-0,0-2,0-0,.000,0-1,.000,0-1,L2,0-2
San Diego Chargers,American Football Conference - 2013 Preseason,AFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Oakland Raiders,American Football Conference - 2013 Preseason,AFC West Team,0,2,0,.000,26,50,-24,2,0-0,0-2,0-0,.000,0-0,.000,0-2,L2,0-2
Kansas City Chiefs,American Football Conference - 2013 Preseason,AFC West Team,0,1,0,.000,13,17,-4,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Denver Broncos,American Football Conference - 2013 Preseason,AFC West Team,0,1,0,.000,10,40,-30,1,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Dallas Cowboys,National Football Conference - 2013 Preseason,NFC East Team,1,1,0,.500,30,42,-12,3,1-1,0-0,0-0,.000,0-0,.000,1-1,L1,1-1
Philadelphia Eagles,National Football Conference - 2013 Preseason,NFC East Team,0,1,0,.000,20,27,-7,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Washington Redskins,National Football Conference - 2013 Preseason,NFC East Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
New York Giants,National Football Conference - 2013 Preseason,NFC East Team,0,3,0,.000,53,72,-19,3,0-2,0-1,0-0,.000,0-0,.000,0-3,L3,0-3
Detroit Lions,National Football Conference - 2013 Preseason,NFC North Team,3,0,0,1.000,101,39,62,11,2-0,1-0,0-0,.000,0-0,.000,3-0,W3,3-0
Green Bay Packers,National Football Conference - 2013 Preseason,NFC North Team,1,0,0,1.000,19,7,12,1,0-0,1-0,0-0,.000,1-0,1.000,0-0,W1,1-0
Minnesota Vikings,National Football Conference - 2013 Preseason,NFC North Team,1,2,0,.333,53,70,-17,6,1-1,0-1,0-0,.000,0-0,.000,1-2,W1,1-2
Chicago Bears,National Football Conference - 2013 Preseason,NFC North Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
New Orleans Saints,National Football Conference - 2013 Preseason,NFC South Team,2,0,0,1.000,45,33,12,4,2-0,0-0,0-0,.000,0-0,.000,2-0,W2,2-0
Carolina Panthers,National Football Conference - 2013 Preseason,NFC South Team,1,0,0,1.000,34,27,7,4,0-0,1-0,0-0,.000,0-0,.000,1-0,W1,1-0
Tampa Bay Buccaneers,National Football Conference - 2013 Preseason,NFC South Team,0,1,0,.000,21,25,-4,2,0-0,0-1,0-0,.000,0-0,.000,0-1,L1,0-1
Atlanta Falcons,National Football Conference - 2013 Preseason,NFC South Team,0,3,0,.000,49,81,-32,5,0-2,0-1,0-0,.000,0-0,.000,0-3,L3,0-3
Seattle Seahawks,National Football Conference - 2013 Preseason,NFC West Team,2,0,0,1.000,62,16,46,6,2-0,0-0,0-0,.000,0-0,.000,2-0,W2,2-0
St. Louis Rams,National Football Conference - 2013 Preseason,NFC West Team,1,1,0,.500,31,40,-9,4,1-1,0-0,0-0,.000,0-1,.000,1-0,W1,1-1
San Francisco 49ers,National Football Conference - 2013 Preseason,NFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
Arizona Cardinals,National Football Conference - 2013 Preseason,NFC West Team,0,0,0,.000,0,0,0,0,0-0,0-0,0-0,.000,0-0,.000,0-0,-,0-0
