Team,Season,Division,W,L,T,Pct,PF,PA,Net Pts,TD,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Streak,Last 5
New England Patriots,American Football Conference - 2006 Regular Season,AFC East Team,11,4,0,.733,354,230,124,42,5-3,6-1,4-2,.667,8-4,.667,3-0,W3,4-1
New York Jets,American Football Conference - 2006 Regular Season,AFC East Team,9,6,0,.600,290,282,8,33,4-4,5-2,4-2,.667,7-5,.583,2-1,W2,4-1
Buffalo Bills,American Football Conference - 2006 Regular Season,AFC East Team,7,7,0,.500,267,274,-7,30,4-4,3-3,3-3,.500,5-6,.455,2-1,L2,2-3
Miami Dolphins,American Football Conference - 2006 Regular Season,AFC East Team,5,8,0,.385,196,229,-33,21,4-4,1-4,1-5,.167,3-7,.300,2-1,L2,2-3
Baltimore Ravens,American Football Conference - 2006 Regular Season,AFC North Team,12,3,0,.800,318,179,139,33,7-1,5-2,5-1,.833,10-2,.833,2-1,W4,4-1
Pittsburgh Steelers,American Football Conference - 2006 Regular Season,AFC North Team,8,7,0,.533,315,274,41,37,5-3,3-4,3-3,.500,5-7,.417,3-0,W1,4-1
Cincinnati Bengals,American Football Conference - 2006 Regular Season,AFC North Team,7,7,0,.500,326,281,45,38,4-4,3-3,4-2,.667,6-5,.545,1-2,L2,3-2
Cleveland Browns,American Football Conference - 2006 Regular Season,AFC North Team,3,12,0,.200,221,343,-122,23,2-6,1-6,0-6,.000,3-9,.250,0-3,L4,1-4
Tennessee Titans,American Football Conference - 2006 Regular Season,AFC South Team,8,7,0,.533,311,386,-75,35,4-4,4-3,4-1,.800,5-6,.455,3-1,L1,4-1
Jacksonville Jaguars,American Football Conference - 2006 Regular Season,AFC South Team,8,7,0,.533,357,253,104,40,6-2,2-5,2-3,.400,5-6,.455,3-1,L3,2-3
Indianapolis Colts,American Football Conference - 2006 Regular Season,AFC South Team,4,4,0,.500,190,212,-22,21,0-0,4-4,0-3,.000,3-3,.500,1-1,L4,1-4
Houston Texans,American Football Conference - 2006 Regular Season,AFC South Team,5,8,0,.385,216,284,-68,24,3-3,2-5,3-2,.600,5-5,.500,0-3,W2,3-2
San Diego Chargers,American Football Conference - 2006 Regular Season,AFC West Team,14,2,0,.875,492,303,189,59,8-0,6-2,5-1,.833,10-2,.833,4-0,W10,5-0
Denver Broncos,American Football Conference - 2006 Regular Season,AFC West Team,9,6,0,.600,309,287,22,33,4-4,5-2,3-3,.500,8-4,.667,1-2,L1,2-3
Kansas City Chiefs,American Football Conference - 2006 Regular Season,AFC West Team,7,7,0,.500,277,278,-1,31,6-2,1-5,4-2,.667,5-7,.417,2-0,W2,2-3
Oakland Raiders,American Football Conference - 2006 Regular Season,AFC West Team,2,14,0,.125,168,332,-164,16,2-6,0-8,0-6,.000,1-11,.083,1-3,L9,0-5
Philadelphia Eagles,National Football Conference - 2006 Regular Season,NFC East Team,9,4,0,.692,329,246,83,40,5-3,4-1,5-1,.833,9-2,.818,0-2,W5,5-0
Dallas Cowboys,National Football Conference - 2006 Regular Season,NFC East Team,8,7,0,.533,387,322,65,47,4-4,4-3,2-4,.333,5-6,.455,3-1,L3,2-3
New York Giants,National Football Conference - 2006 Regular Season,NFC East Team,7,8,0,.467,328,348,-20,38,3-5,4-3,4-2,.667,6-5,.545,1-3,W1,2-3
Washington Redskins,National Football Conference - 2006 Regular Season,NFC East Team,4,9,0,.308,238,293,-55,26,3-5,1-4,1-5,.167,2-8,.200,2-1,L3,1-4
Chicago Bears,National Football Conference - 2006 Regular Season,NFC North Team,10,3,0,.769,340,191,149,38,6-2,4-1,3-1,.750,8-1,.889,2-2,L1,3-2
Green Bay Packers,National Football Conference - 2006 Regular Season,NFC North Team,6,8,0,.429,247,325,-78,26,3-5,3-3,3-1,.750,5-5,.500,1-3,W4,4-1
Minnesota Vikings,National Football Conference - 2006 Regular Season,NFC North Team,2,5,0,.286,105,111,-6,11,0-0,2-5,0-2,.000,2-3,.400,0-2,L4,1-4
Detroit Lions,National Football Conference - 2006 Regular Season,NFC North Team,1,4,0,.200,100,141,-41,9,0-0,1-4,0-2,.000,1-2,.333,0-2,W1,1-4
New Orleans Saints,National Football Conference - 2006 Regular Season,NFC South Team,5,2,0,.714,205,138,67,24,0-0,5-2,1-1,.500,4-1,.800,1-1,W2,3-2
Atlanta Falcons,National Football Conference - 2006 Regular Season,NFC South Team,4,2,0,.667,117,101,16,13,0-0,4-2,2-0,1.000,3-1,.750,1-1,L1,3-2
Carolina Panthers,National Football Conference - 2006 Regular Season,NFC South Team,6,7,0,.462,216,265,-49,22,4-4,2-3,3-1,.750,4-5,.444,2-2,L4,1-4
Tampa Bay Buccaneers,National Football Conference - 2006 Regular Season,NFC South Team,4,10,0,.286,187,315,-128,20,3-5,1-5,0-4,.000,2-8,.200,2-2,L1,1-4
San Francisco 49ers,National Football Conference - 2006 Regular Season,NFC West Team,6,6,0,.500,225,311,-86,23,4-4,2-2,3-1,.750,4-4,.500,2-2,W1,3-2
Seattle Seahawks,National Football Conference - 2006 Regular Season,NFC West Team,7,7,0,.500,296,307,-11,34,5-3,2-4,2-3,.400,5-5,.500,2-2,W1,2-3
St. Louis Rams,National Football Conference - 2006 Regular Season,NFC West Team,2,4,0,.333,102,117,-15,10,0-0,2-4,0-2,.000,1-3,.250,1-1,W1,2-3
Arizona Cardinals,National Football Conference - 2006 Regular Season,NFC West Team,2,7,0,.222,159,230,-71,15,1-3,1-4,2-1,.667,2-4,.333,0-3,L1,2-3
